"Complete Payment","إكمال الدفع",""
"Total Amount","المبلغ الإجمالي",""
"Remaining","المتبقي",""
"Change","الباقي",""
"Paid in Full","مدفوع بالكامل",""
"paid of","مدفوع من",""
"Customer Credit Available","رصيد العميل متاح",""
"Customer Outstanding Balance","رصيد العميل المستحق",""
"Credit can be applied to invoice","يمكن تطبيق الرصيد على الفاتورة",""
"Amount owed by customer","المبلغ المستحق على العميل",""
"No outstanding balance","لا يوجد رصيد مستحق",""
"Save","حفظ",""
"Cancel","إلغاء",""
"Submit","إرسال",""
"Delete","حذف",""
"Edit","تعديل",""
"Search","بحث",""
"Close","إغلاق",""
"Confirm","تأكيد",""
"Yes","نعم",""
"No","لا",""
"Loading...","جاري التحميل...",""
"Error","خطأ",""
"Success","نجح",""
"Warning","تحذير",""
"Information","معلومات",""
"Add Item","إضافة منتج",""
"Select Customer","اختر عميل",""
"Create Customer","إنشاء عميل جديد",""
"Discount","خصم",""
"Tax","ضريبة",""
"Total","الإجمالي",""
"Checkout","إتمام الشراء",""
"Clear Cart","إفراغ السلة",""
"Hold Invoice","تعليق الفاتورة",""
"Print Receipt","طباعة الإيصال",""
"No stock available","لا يوجد مخزون متاح",""
"Item added to cart","تمت إضافة المنتج للسلة",""
"Item removed from cart","تمت إزالة المنتج من السلة",""
"Open Shift","فتح وردية",""
"Close Shift","إغلاق وردية",""
"Shift Opening","فتح الوردية",""
"Shift Closing","إغلاق الوردية",""
"Opening Amount","المبلغ الافتتاحي",""
"Closing Amount","المبلغ الختامي",""
"Cash in Hand","النقد في الصندوق",""
"Expected Amount","المبلغ المتوقع",""
"Difference","الفرق",""
"Draft Invoices","الفواتير المسودة",""
"Invoice History","سجل الفواتير",""
"Offline Invoices","الفواتير غير المتصلة",""
"Return Invoice","إرجاع فاتورة",""
"Invoice Number","رقم الفاتورة",""
"Date","التاريخ",""
"Customer","العميل",""
"Amount","المبلغ",""
"Status","الحالة",""
"Paid","مدفوع",""
"Unpaid","غير مدفوع",""
"Partially Paid","مدفوع جزئياً",""
"Settings","الإعدادات",""
"General","عام",""
"Appearance","المظهر",""
"Language","اللغة",""
"Select Language","اختر اللغة",""
"Theme","السمة",""
"Notifications","الإشعارات",""
"Receipt Settings","إعدادات الإيصال",""
"Hardware","الأجهزة",""
"POS Profile","ملف نقطة البيع",""
"Network connection error","خطأ في الاتصال بالشبكة",""
"Session expired, please login again","انتهت الجلسة، يرجى تسجيل الدخول مرة أخرى",""
"Insufficient stock for {0}","مخزون غير كافٍ لـ {0}",""
"Invalid quantity","كمية غير صحيحة",""
"Please select a customer","يرجى اختيار عميل",""
"Payment processing failed","فشلت عملية الدفع",""
"An unexpected error occurred","حدث خطأ غير متوقع",""
"This field is required","هذا الحقل مطلوب",""
"Minimum length is {0} characters","الحد الأدنى للطول هو {0} حرفاً",""
"Maximum length is {0} characters","الحد الأقصى للطول هو {0} حرفاً",""
"Please enter a valid email address","يرجى إدخال بريد إلكتروني صحيح",""
